rainfall_mm,river_level_m,soil_moisture,slope_degrees,temperature_c,wind_kph,high_risk
39.13,1.42,0.106,42.53,36.1,50.62,0
16.14,6.82,0.408,1.88,21.41,130.53,0
96.03,5.08,0.648,30.01,20.92,0,0
128.86,3.82,0.879,10.65,12.31,51.74,0
30.89,5.32,0.878,35.21,23.53,17.49,0
55.31,5.97,0.666,17.21,6.74,22.04,0
91.38,3.36,0.78,39.21,15.03,26.1,0
51.95,5.43,0.735,15.8,27.92,16.11,0
49.8,5.02,0.833,11.75,31.13,54.72,0
20.95,3.19,0.747,19.64,49.29,101.08,1
59.99,5.2,0.414,23.4,41.29,12.89,0
52.57,2.85,0.41,42.7,46.43,8.06,0
123.45,8.29,0.482,30.01,19.68,30.51,0
78.78,7.95,0.36,33.67,12.83,12.59,0
74.23,2.66,0.2,35.36,32.3,28.43,0
30.75,1.83,0.754,43.19,38.12,29.5,0
22.78,1.52,0.089,42.84,15.57,21.49,0
63.32,5.11,0.935,27.51,39.58,0,0
0,2.68,0.365,17.98,11.64,16.76,0
114.91,0.5,0.739,9.85,41.18,31.96,0
0,2.53,0.115,6.0,25.91,1.07,0
24.02,8.33,0.42,36.68,45.14,0,0
30.02,4.99,0.818,20.25,38.83,60.09,0
63.96,1.67,0.227,19.79,37.11,48.08,0
69.43,3.86,0.143,17.24,11.88,53.14,0
30.48,6.95,0.059,37.48,22.53,55.49,0
147.09,5.13,0.547,21.46,47.42,34.54,1
121.46,1.51,0.511,33.06,40.99,77.44,0
47.55,7.35,0.369,30.1,40.92,34.17,0
165.64,1.1,0.507,40.81,31.64,37.38,0
0,6.68,0.173,11.71,19.73,14.52,0
81.43,3.11,0.904,18.97,42.57,0,0
159.98,6.48,0.213,3.09,48.08,53.51,1
56.47,9.28,0.59,10.73,26.31,109.01,1
21.21,4.92,0.35,27.27,48.37,33.01,0
75.03,6.35,0.55,41.8,30.91,73.44,0
82.92,3.9,0.562,37.38,15.93,35.34,0
22.31,0.36,0.756,25.47,6.85,0,0
113.98,6.02,0.012,18.9,27.06,14.66,0
93.79,2.75,0.145,7.93,28.48,16.65,0
122.98,2.41,0.442,37.16,31.66,33.47,0
88.36,3.69,0.428,33.77,30.64,29.41,0
