external_id,category,title,summary,source_name,source_url,published_at,collected_at,last_checked_at,expires_at,location,tags,severity,verification_status,source_reliability
demo-job-001,job,Junior Data Analyst — Remote,"Entry-level analytics role requiring Python, SQL, Power BI and communication skills.",Demo Employer,https://example.org/jobs/1,2026-08-04T09:00:00+00:00,2026-08-04T12:00:00+00:00,2026-08-04T12:00:00+00:00,2026-08-24T12:00:00+00:00,Remote / Global,python;sql;power bi;data analysis;remote,low,demo,0.72
demo-job-002,job,Data Engineering Internship,"Internship focused on ETL, PostgreSQL, Airflow and cloud pipelines.",Demo Employer,https://example.org/jobs/2,2026-08-04T04:00:00+00:00,2026-08-04T12:00:00+00:00,2026-08-04T12:00:00+00:00,2026-08-22T12:00:00+00:00,"Lahore, Pakistan",python;sql;etl;airflow;internship,low,demo,0.72
demo-sch-001,scholarship,Global Data Science Master’s Scholarship,Synthetic fully funded scholarship for testing eligibility and deadline ranking.,Demo University,https://example.org/scholarships/1,2026-08-04T06:00:00+00:00,2026-08-04T12:00:00+00:00,2026-08-04T12:00:00+00:00,2026-09-29T12:00:00+00:00,Global,data science;masters;fully funded;pakistan,low,demo,0.72
demo-sch-002,scholarship,Inclusive Technology Research Fellowship,Synthetic research fellowship for accessibility and AI projects.,Demo Foundation,https://example.org/scholarships/2,2026-08-03T12:00:00+00:00,2026-08-04T12:00:00+00:00,2026-08-04T12:00:00+00:00,2026-09-03T12:00:00+00:00,Global,ai;accessibility;research;fellowship,low,demo,0.72
demo-dis-001,disaster,High flood-risk test alert,Synthetic alert used to test emergency prioritisation and geospatial display.,LifeBridge Demo Data,https://example.org/alerts/1,2026-08-04T11:00:00+00:00,2026-08-04T12:00:00+00:00,2026-08-04T12:00:00+00:00,,"Lahore, Pakistan",flood;rainfall;emergency,high,demo,0.7
demo-weather-001,weather,Heat safety advisory,"Synthetic heat advisory for UI, notification and recommendation testing.",LifeBridge Demo Data,https://example.org/weather/1,2026-08-04T10:00:00+00:00,2026-08-04T12:00:00+00:00,2026-08-04T12:00:00+00:00,,"Lahore, Pakistan",heat;weather;safety,medium,demo,0.7
demo-service-001,service,City General Hospital — wheelchair access reported,Synthetic nearby-service record with accessibility tags.,LifeBridge Demo Data,https://example.org/services/1,2026-08-02T12:00:00+00:00,2026-08-04T12:00:00+00:00,2026-08-04T12:00:00+00:00,,"Lahore, Pakistan",hospital;wheelchair;emergency,low,demo,0.7
demo-learning-001,learning,SQL for Data Analytics learning path,Synthetic learning recommendation linked to job-skill gaps.,LifeBridge Demo Data,https://example.org/learning/1,2026-08-04T00:00:00+00:00,2026-08-04T12:00:00+00:00,2026-08-04T12:00:00+00:00,,Global,sql;course;data analysis,low,demo,0.7
demo-safety-001,safety,Fake scholarship payment warning,Never pay an application fee to an unverified personal account. Verify the provider through its official domain.,LifeBridge Safety Lab,https://example.org/safety/1,2026-08-04T07:00:00+00:00,2026-08-04T12:00:00+00:00,2026-08-04T12:00:00+00:00,,Global,scam;scholarship;payment;verification,medium,demo,0.76
demo-service-002,service,Community Skills Centre,Training and employment support service for testing the ServiceLink feed.,LifeBridge Demo Data,https://example.org/services/2,2026-08-01T12:00:00+00:00,2026-08-04T12:00:00+00:00,2026-08-04T12:00:00+00:00,,"Lahore, Pakistan",training;community;career,low,demo,0.70
