path,area,purpose,size_bytes
.dockerignore,Repository,Container build/orchestration,247
.env.example,Repository,Project support file,1610
.github/dependabot.yml,CI/Security,Configuration or automation workflow,576
.github/workflows/ci.yml,CI/Security,Configuration or automation workflow,1861
.github/workflows/codeql.yml,CI/Security,Configuration or automation workflow,514
.github/workflows/dependency-review.yml,CI/Security,Configuration or automation workflow,272
.github/workflows/secret-scan.yml,CI/Security,Configuration or automation workflow,314
.gitignore,Repository,Project support file,673
.nvmrc,Repository,Project support file,3
.python-version,Repository,Project support file,5
apps/backend/.env.example,FastAPI backend,Project support file,117
apps/backend/alembic.ini,FastAPI backend,Project support file,591
apps/backend/alembic/env.py,FastAPI backend,"Python service, model pipeline or utility",1203
apps/backend/alembic/script.py.mako,FastAPI backend,Project support file,589
apps/backend/alembic/versions/20260804_0001_initial.py,FastAPI backend,"Python service, model pipeline or utility",6529
apps/backend/app/__init__.py,FastAPI backend,"Python service, model pipeline or utility",0
apps/backend/app/api/__init__.py,FastAPI backend,"Python service, model pipeline or utility",0
apps/backend/app/api/router.py,FastAPI backend,"Python service, model pipeline or utility",575
apps/backend/app/api/routes/__init__.py,FastAPI backend,"Python service, model pipeline or utility",0
apps/backend/app/api/routes/admin.py,FastAPI backend,"Python service, model pipeline or utility",5088
apps/backend/app/api/routes/ai.py,FastAPI backend,"Python service, model pipeline or utility",1243
apps/backend/app/api/routes/auth.py,FastAPI backend,"Python service, model pipeline or utility",1546
apps/backend/app/api/routes/feed.py,FastAPI backend,"Python service, model pipeline or utility",2648
apps/backend/app/api/routes/health.py,FastAPI backend,"Python service, model pipeline or utility",839
apps/backend/app/api/routes/notifications.py,FastAPI backend,"Python service, model pipeline or utility",1154
apps/backend/app/api/routes/profile.py,FastAPI backend,"Python service, model pipeline or utility",2223
apps/backend/app/api/routes/saved.py,FastAPI backend,"Python service, model pipeline or utility",1721
apps/backend/app/api/routes/services.py,FastAPI backend,"Python service, model pipeline or utility",572
apps/backend/app/api/routes/sources.py,FastAPI backend,"Python service, model pipeline or utility",1460
apps/backend/app/core/__init__.py,FastAPI backend,"Python service, model pipeline or utility",0
apps/backend/app/core/config.py,FastAPI backend,"Python service, model pipeline or utility",3913
apps/backend/app/core/database.py,FastAPI backend,"Python service, model pipeline or utility",999
apps/backend/app/core/middleware.py,FastAPI backend,"Python service, model pipeline or utility",3303
apps/backend/app/core/security.py,FastAPI backend,"Python service, model pipeline or utility",4011
apps/backend/app/main.py,FastAPI backend,"Python service, model pipeline or utility",3454
apps/backend/app/models.py,FastAPI backend,"Python service, model pipeline or utility",6880
apps/backend/app/schemas.py,FastAPI backend,"Python service, model pipeline or utility",7054
apps/backend/app/services/__init__.py,FastAPI backend,"Python service, model pipeline or utility",0
apps/backend/app/services/cache.py,FastAPI backend,"Python service, model pipeline or utility",1349
apps/backend/app/services/collector_manager.py,FastAPI backend,"Python service, model pipeline or utility",1268
apps/backend/app/services/collectors/__init__.py,FastAPI backend,"Python service, model pipeline or utility",157
apps/backend/app/services/collectors/adzuna.py,FastAPI backend,"Python service, model pipeline or utility",2140
