id,text,label,language,source
1,Your interview for the Data Analyst position is scheduled for Friday. Join through the company career portal.,0,en,synthetic
2,Congratulations winner! Pay a processing fee by gift card to claim your prize.,1,en,synthetic
3,Your interview for the Data Analyst position is scheduled for 10 August. Join through the company career portal.,0,en,synthetic
4,URGENT: Your account will be suspended. Send your OTP now to verify your identity.,1,en,synthetic
5,The university admissions office has published scholarship results on its official website. Reference ID 10004.,0,en,synthetic
6,Congratulations winner! Pay a processing fee by gift card to claim your prize. Reference ID 10005.,1,en,synthetic
7,Weather authorities advise residents to avoid low-lying roads during heavy rainfall. Please keep this message for your records.,0,en,synthetic
8,Investment opportunity guaranteed profit. Send crypto to this wallet today. Please keep this message for your records.,1,en,synthetic
9,Your interview for the Support Officer position is scheduled for 10 August. Join through the company career portal. Please keep this message for your records.,0,en,synthetic
10,You are selected for a remote job. Transfer a registration deposit before the interview.,1,en,synthetic
11,The university admissions office has published scholarship results on its official website.,0,en,synthetic
12,"Bank security alert: click this link and enter your card number, CVV and password immediately.",1,en,synthetic
13,Your parcel will arrive tomorrow. Track it from the courier application you already use.,0,en,synthetic
14,"Bank security alert: click this link and enter your card number, CVV and password immediately. Reference ID 10013.",1,en,synthetic
15,Your interview for the Developer position is scheduled for Monday. Join through the company career portal. Reference ID 10014.,0,en,synthetic
16,You are selected for a remote job. Transfer a registration deposit before the interview. Reference ID 10015.,1,en,synthetic
17,Weather authorities advise residents to avoid low-lying roads during heavy rainfall. Reference ID 10016.,0,en,synthetic
18,URGENT: Your account will be suspended. Send your OTP now to verify your identity.,1,en,synthetic
19,The university admissions office has published scholarship results on its official website.,0,en,synthetic
20,URGENT: Your account will be suspended. Send your OTP now to verify your identity. Please keep this message for your records.,1,en,synthetic
21,Your parcel will arrive tomorrow. Track it from the courier application you already use.,0,en,synthetic
22,You are selected for a remote job. Transfer a registration deposit before the interview. Please keep this message for your records.,1,en,synthetic
23,The university admissions office has published scholarship results on its official website. Reference ID 10022.,0,en,synthetic
24,Congratulations winner! Pay a processing fee by gift card to claim your prize. Reference ID 10023.,1,en,synthetic
25,The university admissions office has published scholarship results on its official website. Please keep this message for your records.,0,en,synthetic
26,You are selected for a remote job. Transfer a registration deposit before the interview. Reference ID 10025.,1,en,synthetic
27,Weather authorities advise residents to avoid low-lying roads during heavy rainfall.,0,en,synthetic
28,Congratulations winner! Pay a processing fee by gift card to claim your prize.,1,en,synthetic
29,Your parcel will arrive tomorrow. Track it from the courier application you already use.,0,en,synthetic
30,Congratulations winner! Pay a processing fee by gift card to claim your prize. Reference ID 10029.,1,en,synthetic
31,Your parcel will arrive tomorrow. Track it from the courier application you already use. Please keep this message for your records.,0,en,synthetic
32,"Bank security alert: click this link and enter your card number, CVV and password immediately.",1,en,synthetic
33,Your parcel will arrive tomorrow. Track it from the courier application you already use. Reference ID 10032.,0,en,synthetic
34,Investment opportunity guaranteed profit. Send crypto to this wallet today. Reference ID 10033.,1,en,synthetic
35,Your parcel will arrive tomorrow. Track it from the courier application you already use. Please keep this message for your records.,0,en,synthetic
36,Congratulations winner! Pay a processing fee by gift card to claim your prize.,1,en,synthetic
37,Weather authorities advise residents to avoid low-lying roads during heavy rainfall.,0,en,synthetic
38,URGENT: Your account will be suspended. Send your OTP now to verify your identity.,1,en,synthetic
39,The university admissions office has published scholarship results on its official website. Please keep this message for your records.,0,en,synthetic
40,"Bank security alert: click this link and enter your card number, CVV and password immediately. Reference ID 10039.",1,en,synthetic
41,Your monthly bank statement is available in the official mobile banking application. Reference ID 10040.,0,en,synthetic
42,URGENT: Your account will be suspended. Send your OTP now to verify your identity. Reference ID 10041.,1,en,synthetic
43,Weather authorities advise residents to avoid low-lying roads during heavy rainfall.,0,en,synthetic
44,You are selected for a remote job. Transfer a registration deposit before the interview. Please keep this message for your records.,1,en,synthetic
45,The university admissions office has published scholarship results on its official website. Reference ID 10044.,0,en,synthetic
46,You are selected for a remote job. Transfer a registration deposit before the interview. Reference ID 10045.,1,en,synthetic
47,The university admissions office has published scholarship results on its official website. Reference ID 10046.,0,en,synthetic
48,Investment opportunity guaranteed profit. Send crypto to this wallet today. Reference ID 10047.,1,en,synthetic
49,The university admissions office has published scholarship results on its official website.,0,en,synthetic
50,Investment opportunity guaranteed profit. Send crypto to this wallet today. Reference ID 10049.,1,en,synthetic
51,Your interview for the Research Assistant position is scheduled for 10 August. Join through the company career portal.,0,en,synthetic
52,URGENT: Your account will be suspended. Send your OTP now to verify your identity. Please keep this message for your records.,1,en,synthetic
53,Your parcel will arrive tomorrow. Track it from the courier application you already use.,0,en,synthetic
54,Investment opportunity guaranteed profit. Send crypto to this wallet today.,1,en,synthetic
55,Your interview for the Developer position is scheduled for Monday. Join through the company career portal. Reference ID 10054.,0,en,synthetic
56,Congratulations winner! Pay a processing fee by gift card to claim your prize.,1,en,synthetic
57,Your monthly bank statement is available in the official mobile banking application. Reference ID 10056.,0,en,synthetic
58,Investment opportunity guaranteed profit. Send crypto to this wallet today. Please keep this message for your records.,1,en,synthetic
59,The university admissions office has published scholarship results on its official website. Please keep this message for your records.,0,en,synthetic
60,You are selected for a remote job. Transfer a registration deposit before the interview. Please keep this message for your records.,1,en,synthetic
61,Weather authorities advise residents to avoid low-lying roads during heavy rainfall.,0,en,synthetic
62,Congratulations winner! Pay a processing fee by gift card to claim your prize.,1,en,synthetic
63,Your parcel will arrive tomorrow. Track it from the courier application you already use. Reference ID 10062.,0,en,synthetic
64,Congratulations winner! Pay a processing fee by gift card to claim your prize.,1,en,synthetic
65,Your interview for the Data Analyst position is scheduled for Tuesday. Join through the company career portal.,0,en,synthetic
66,URGENT: Your account will be suspended. Send your OTP now to verify your identity. Please keep this message for your records.,1,en,synthetic
67,Your interview for the Support Officer position is scheduled for Friday. Join through the company career portal. Reference ID 10066.,0,en,synthetic
68,"Bank security alert: click this link and enter your card number, CVV and password immediately.",1,en,synthetic
69,Weather authorities advise residents to avoid low-lying roads during heavy rainfall.,0,en,synthetic
70,"Bank security alert: click this link and enter your card number, CVV and password immediately. Please keep this message for your records.",1,en,synthetic
71,The university admissions office has published scholarship results on its official website. Reference ID 10070.,0,en,synthetic
72,"Bank security alert: click this link and enter your card number, CVV and password immediately. Please keep this message for your records.",1,en,synthetic
73,Your monthly bank statement is available in the official mobile banking application. Reference ID 10072.,0,en,synthetic
74,URGENT: Your account will be suspended. Send your OTP now to verify your identity. Reference ID 10073.,1,en,synthetic
75,Your interview for the Data Analyst position is scheduled for 10 August. Join through the company career portal. Reference ID 10074.,0,en,synthetic
76,You are selected for a remote job. Transfer a registration deposit before the interview.,1,en,synthetic
77,The university admissions office has published scholarship results on its official website. Reference ID 10076.,0,en,synthetic
78,"Bank security alert: click this link and enter your card number, CVV and password immediately.",1,en,synthetic
79,Your monthly bank statement is available in the official mobile banking application. Please keep this message for your records.,0,en,synthetic
80,Congratulations winner! Pay a processing fee by gift card to claim your prize.,1,en,synthetic
81,Your monthly bank statement is available in the official mobile banking application. Reference ID 10080.,0,en,synthetic
82,Investment opportunity guaranteed profit. Send crypto to this wallet today.,1,en,synthetic
83,Your interview for the Support Officer position is scheduled for Tuesday. Join through the company career portal. Please keep this message for your records.,0,en,synthetic
84,"Bank security alert: click this link and enter your card number, CVV and password immediately. Please keep this message for your records.",1,en,synthetic
85,The university admissions office has published scholarship results on its official website.,0,en,synthetic
86,"Bank security alert: click this link and enter your card number, CVV and password immediately.",1,en,synthetic
87,Your monthly bank statement is available in the official mobile banking application. Please keep this message for your records.,0,en,synthetic
88,"Bank security alert: click this link and enter your card number, CVV and password immediately. Reference ID 10087.",1,en,synthetic
89,Weather authorities advise residents to avoid low-lying roads during heavy rainfall.,0,en,synthetic
90,You are selected for a remote job. Transfer a registration deposit before the interview.,1,en,synthetic
91,Your interview for the Data Analyst position is scheduled for Friday. Join through the company career portal.,0,en,synthetic
92,URGENT: Your account will be suspended. Send your OTP now to verify your identity. Reference ID 10091.,1,en,synthetic
93,Your monthly bank statement is available in the official mobile banking application. Reference ID 10092.,0,en,synthetic
94,URGENT: Your account will be suspended. Send your OTP now to verify your identity.,1,en,synthetic
95,Your interview for the Data Analyst position is scheduled for Tuesday. Join through the company career portal. Please keep this message for your records.,0,en,synthetic
96,URGENT: Your account will be suspended. Send your OTP now to verify your identity. Reference ID 10095.,1,en,synthetic
97,The university admissions office has published scholarship results on its official website. Please keep this message for your records.,0,en,synthetic
98,Investment opportunity guaranteed profit. Send crypto to this wallet today. Reference ID 10097.,1,en,synthetic
99,Weather authorities advise residents to avoid low-lying roads during heavy rainfall.,0,en,synthetic
100,You are selected for a remote job. Transfer a registration deposit before the interview.,1,en,synthetic
101,Your parcel will arrive tomorrow. Track it from the courier application you already use. Reference ID 10100.,0,en,synthetic
102,You are selected for a remote job. Transfer a registration deposit before the interview. Please keep this message for your records.,1,en,synthetic
103,Your parcel will arrive tomorrow. Track it from the courier application you already use. Please keep this message for your records.,0,en,synthetic
104,Investment opportunity guaranteed profit. Send crypto to this wallet today. Reference ID 10103.,1,en,synthetic
105,Your interview for the Data Analyst position is scheduled for Tuesday. Join through the company career portal. Reference ID 10104.,0,en,synthetic
106,You are selected for a remote job. Transfer a registration deposit before the interview.,1,en,synthetic
107,Your parcel will arrive tomorrow. Track it from the courier application you already use. Please keep this message for your records.,0,en,synthetic
108,You are selected for a remote job. Transfer a registration deposit before the interview.,1,en,synthetic
109,Your monthly bank statement is available in the official mobile banking application. Reference ID 10108.,0,en,synthetic
110,Investment opportunity guaranteed profit. Send crypto to this wallet today. Please keep this message for your records.,1,en,synthetic
111,Your interview for the Support Officer position is scheduled for Friday. Join through the company career portal.,0,en,synthetic
112,URGENT: Your account will be suspended. Send your OTP now to verify your identity. Reference ID 10111.,1,en,synthetic
113,Weather authorities advise residents to avoid low-lying roads during heavy rainfall. Please keep this message for your records.,0,en,synthetic
114,Investment opportunity guaranteed profit. Send crypto to this wallet today.,1,en,synthetic
115,Your parcel will arrive tomorrow. Track it from the courier application you already use. Reference ID 10114.,0,en,synthetic
116,"Bank security alert: click this link and enter your card number, CVV and password immediately. Please keep this message for your records.",1,en,synthetic
117,Your interview for the Data Analyst position is scheduled for 10 August. Join through the company career portal. Please keep this message for your records.,0,en,synthetic
118,URGENT: Your account will be suspended. Send your OTP now to verify your identity.,1,en,synthetic
119,Your parcel will arrive tomorrow. Track it from the courier application you already use.,0,en,synthetic
120,"Bank security alert: click this link and enter your card number, CVV and password immediately. Reference ID 10119.",1,en,synthetic
